"ID";"Aufgabe";"Festgestelltes Problem";"Betroffene Seite oder Datei";"Empfohlene Lösung";"Priorität";"Aufwand";"Risiko";"Abhängigkeiten";"Akzeptanzkriterien";"Testmethode"
"A-14";"Funnel-Entwurf datensparsam speichern";"Firma, Name, E-Mail, Telefon und Ort bleiben ohne TTL im localStorage; Datenschutztext erwähnt den Entwurf nicht.";"src/pages/AngebotsFunnel.tsx, src/pages/rechtliches/Datenschutz.tsx";"Nur nichtpersonenbezogene Felder oder session-/TTL-basiertes Drafting; explizites Entfernen nach Frist/Erfolg; Rechtstext juristisch prüfen.";"hoher Nutzen";"S";"mittel";"Datenschutzprüfung";"Nach Erfolg/TTL bleibt keine PII im Browser; Funktion und Erklärung stimmen überein.";"Storage-Test nach Abbruch, Ablauf und Erfolg"
"A-15";"Löschfristen technisch umsetzen";"Die Datenschutzerklärung verspricht Löschung, aber es gibt keine TTL, Automation oder Admin-Löschfunktion; Realtime-Listener sind unpaginiert.";"Firestore, src/pages/Admin.tsx, Datenschutz";"TTL/scheduled deletion, dokumentierte Ausnahmen, Admin-Löschung, Pagination/limit+cursor und Audit-Log.";"hoher Nutzen";"M";"hoch";"Firebase-Zugriff, Datenschutzkonzept";"Testdaten werden fristgerecht gelöscht; Admin bleibt bei >10.000 Leads performant; Löschung ist protokolliert.";"TTL-Integrationstest, Last-/Paginationstest, Verfahrensprüfung"
"A-16";"CSV-Formula-Injection verhindern";"Öffentlich kontrollierte Felder können mit =,+,-,@ Formeln im Admin-Export auslösen.";"src/pages/Admin.tsx";"Gefährliche Präfixe inklusive führender Whitespaces neutralisieren; feste Exportspalten; sichere CSV-Bibliothek oder getestete Escape-Funktion.";"hoher Nutzen";"XS";"hoch";"keine";"Testwerte werden in Excel und LibreOffice ausschließlich als Text geöffnet.";"Unit-Test plus manueller Tabellenimport"
"A-17";"Conversion-Messplan implementieren";"Vercel Analytics misst Seitenaufrufe, aber keine CTA-, Telefon-, WhatsApp-, Funnel-, Fehler- oder Erfolgsereignisse.";"src/App.tsx, CTAs, Funnels, Formulare";"PII-freie Eventtaxonomie mit Landingpage, Leistung, Branche, Region, Quelle und Funnel-Schritt; Consent-/Rechtsgrundlage prüfen.";"hoher Nutzen";"M";"mittel";"Datenschutzentscheidung, A-03";"Definierte Events feuern genau einmal und enthalten keine PII; Funnel-Abbruch und Leadquelle sind auswertbar.";"Analytics Debug/Log, automatisierter Event-E2E"
"A-18";"Standorte und Local-Business-Entitäten verifizieren";"Stuttgart-Adresse/Geo passen nicht zusammen; HQ-Koordinaten sind inkonsistent; exakte GBP-Links fehlen; Drittportale zeigen abweichende Öffnungszeiten.";"Standortseiten, src/lib/site.ts, Google Business Profiles, Branchenverzeichnisse";"Reale Niederlassung vs. Servicegebiet klären; NAP/Öffnungszeiten/Koordinaten angleichen; exakte GBP URLs und parentOrganization/branchOf setzen.";"hoher Nutzen";"M";"hoch";"Unternehmensnachweise, GBP-Zugriff";"Jeder veröffentlichte Standort ist real belegt; NAP und Geo sind auf Website, Schema und GBP identisch.";"Vor-Ort-/Unternehmensfreigabe, GBP- und Citation-Audit, Schema Validator"
"A-19";"Review- und FAQ-Schema bereinigen";"Self-serving AggregateRating/Review-Markup ist für Unternehmenssterne nicht eligible; FAQ-Rich-Results sind für diese Branche praktisch nicht verfügbar.";"src/lib/site.ts, src/components/Reviews.tsx, Home, Referenzen, Konstanz";"Bewertungen sichtbar lassen, aber Unternehmens-AggregateRating nach Richtlinie entfernen oder neutral modellieren; FAQ-Schema nur semantisch und wartbar verwenden.";"hoher Nutzen";"S";"niedrig";"A-06";"Keine irreführende Rich-Result-Erwartung; sichtbarer Inhalt und Schema stimmen überein; Validator fehlerfrei.";"Google Rich Results Test, Schema Markup Validator"
"A-20";"Performance- und CWV-Baseline etablieren";"Es fehlen Feldwerte und CI-Budgets; Startseite liefert 165 KB HTML und initial circa 158 KB gzip JS plus CSS/Fonts; externe Heroes umgehen responsive Logik.";"Build, Vercel Analytics/Speed Insights oder CrUX, Fachartikel, Bildpipeline";"CrUX/Search Console + Lighthouse mobil/desktop erfassen; Budgets für LCP/INP/CLS, HTML, JS, CSS, Bilder; Unsplash-Heroes lokal responsiv ausliefern.";"hoher Nutzen";"M";"niedrig";"Produktivzugriff, A-05, A-09";"75. Perzentil LCP <2,5s, INP <200ms, CLS <0,1; Budgetregression stoppt CI.";"CrUX/Search Console, Lighthouse CI, WebPageTest"
"A-21";"Produktionshost und Deploymentpfad festlegen";"Vercel, Netlify und GitHub Pages sind parallel dokumentiert, aber API, Redirects, Header und Root-Assets sind nicht funktionsgleich.";"vercel.json, netlify.toml, .github/workflows/deploy-pages.yml, README.md";"Einen Produktionshost benennen; alternative Deployments entfernen oder mit identischem Vertrag betreiben; Smoke-Tests für API, Redirects, Assets und Header.";"hoher Nutzen";"S";"mittel";"Hostingentscheidung";"Dokumentation nennt eine Wahrheit; jeder freigegebene Host besteht denselben Smoke-Test.";"Deployment-E2E und curl-Header-/Redirecttest"
"A-22";"Security-Header und CSP vervollständigen";"HSTS, nosniff, frame, referrer und permissions sind vorhanden; eine belastbare CSP fehlt und Regeln unterscheiden sich je Hoster.";"vercel.json, externe Bilder, Analytics, Firebase/Resend";"CSP zunächst report-only inventarisieren, dann restriktiv ausrollen; Header auf Produktionshost vereinheitlichen.";"mittelfristig";"M";"mittel";"A-21, Third-Party-Inventar";"Keine CSP-Verstöße im Normalbetrieb; XSS-relevante Quellen sind explizit allowlisted; Security-Headers-Test besteht.";"CSP-Reports, securityheaders.com, Browser-E2E"
"A-23";"Logo-Marquee barrierearm und leichter machen";"Drei Kopien erzeugen 33 Logo-Images; 42-Sekunden-Bewegung pausiert nur bei Hover, nicht per Tastatur oder Touch.";"src/components/LogoMarquee.tsx, src/index.css";"Statische/mobile Variante oder sichtbarer Pause-Schalter; focus-within-Pause; reduzierte DOM-Duplikation; reduced-motion vollständig respektieren.";"mittelfristig";"S";"niedrig";"Designreview";"Animation ist mit Maus, Tastatur und Touch stoppbar; bei reduced motion statisch; Screenreader hört jedes Logo höchstens einmal.";"WCAG-2.2.2-Test, DOM-Zählung, Screenreader"
"A-24";"Mobile Hero-Conversion verdichten";"Bei 390×844 liegt der primäre Hero-CTA unterhalb der ersten Bildschirmhöhe; Sticky-CTA erscheint erst nach 480 px Scroll.";"src/pages/Home.tsx, Header, StickyCTA";"Mobile Typografie/Abstände so justieren, dass Nutzen und primärer CTA früh sichtbar sind; alternativ dezente frühe Aktionsleiste ohne Überdeckung.";"Quick Win";"S";"niedrig";"Designreview, A-06";"Bei 360×800 und 390×844 sind Positionierung, Nutzen und primärer CTA ohne Scroll erfassbar oder unmittelbar erreichbar.";"Visueller Browsertest auf 360/390/768 px, Tap-Target-Prüfung"
"A-25";"Artikel mit Autorität und Quellen ausstatten";"Fachartikel nennen nur die Organisation als Autor und enthalten kaum externe Primärquellen für ISO, VDI, Recht, Tarif und Preise.";"src/pages/fachwissen/*, Fachwissen-Hub";"Echte fachlich Verantwortliche mit Profil, Review-Datum, nachvollziehbare Quellen, AHAD-Erfahrungswerte und Kennzeichnung von Schätzungen ergänzen.";"strategisch";"L";"niedrig";"Fachexperten, Redaktion, Rechts-/Normenprüfung";"Jeder Artikel hat Autor/Reviewer, Datum, Primärquellen, Praxisbeispiel und passenden nächsten Schritt.";"Redaktionelles QA, Linkcheck, Article-Schema-Test"
"A-26";"Fallstudien statt überwiegend Logo-Social-Proof";"Die Website zeigt viele Logos und Testimonials, aber kaum strukturierte Fälle mit Ausgangslage, Vorgehen und messbarem Ergebnis.";"Home, Referenzen, Leistungs- und Standortseiten";"Freigegebene Fallstudien nach Objektart/Branche/Region mit belegbaren Ergebnissen und Leistungsumfang erstellen.";"strategisch";"L";"mittel";"Kundenfreigaben, A-06";"Mindestens drei freigegebene Fälle beantworten Ausgangslage, Anforderungen, Vorgehen, Umfang, Ergebnis und Kundenzitat.";"Kundenfreigabe, redaktionelles QA, Conversion-Auswertung"
"A-27";"Karriere-Inhalte zentral und aktuell pflegen";"Vier laufende Stellen und Minijob-Grenzen sind statisch; keine IDs, Veröffentlichungs-/Ablaufdaten oder zentrale Quelle; JobPosting fehlt bewusst.";"src/pages/Karriere.tsx, src/constants/funnelTranslations.ts";"Zentrales Jobmodell mit Status, Ort, Arbeitszeit, Datum und Verantwortlichem; nur reale offene Stellen mit JobPosting markieren; mutable Grenzwerte zentralisieren.";"mittelfristig";"M";"hoch";"HR-Freigabe, A-02";"Abgelaufene Jobs verschwinden automatisch; Angaben sind bestätigt; JobPosting existiert nur für echte aktuelle Vakanzen.";"HR-Abnahme, Ablaufdatentest, Rich Results Test"
"A-28";"Automatisierte Qualitätsbarriere einführen";"Keine Tests, kein Linting, keine PR-CI; API und zusätzliche Vite-Configs sind nicht vollständig typgeprüft; SSG fällt fail-open zurück.";"package.json, tsconfig*, .github/workflows, scripts/prerender.mjs";"PR-CI mit Typecheck App/API/Configs, ESLint, Unit, Firebase-Rules, Playwright, axe, Build, Route-/Redirect-/Schema-Smoke und Performance-Budgets.";"mittelfristig";"L";"niedrig";"A-05, A-07";"Absichtliche Route-, A11y-, Schema- oder Build-Regression macht CI rot; Main ist geschützt.";"CI-Testfälle mit bewusst injizierten Fehlern"
"A-29";"SLA- und Funnelversprechen vereinheitlichen";"Website verspricht teils Angebot in 24h, vier Fragen und 60 Sekunden; tatsächlich folgen vier Schritte, mehrere Auswahlen, fünf Pflichtfelder und das Angebot erst nach Besichtigung.";"Home, Header, CTABand, AngebotsFunnel, Success-Texte, src/lib/site.ts";"Eine operativ bestätigte Kette zentral pflegen: Antwort/Terminvorschlag, Besichtigung, Angebot danach; Zeitclaim messen oder neutral als vier Schritte formulieren.";"hoher Nutzen";"S";"hoch";"A-06, Vertrieb/Disposition";"Identischer, belegbarer Wortlaut an allen Touchpoints; fünf Nutzertests bewerten Ablauf/Erwartung mit mindestens 4 von 5.";"Content-Inventur, automatisierte Textsuche, moderierter Funneltest"
"A-30";"Datenschutz ohne Fortschrittsverlust öffnen";"Kontakt- und Bewerbungsformulare verlieren lokalen Zustand, wenn der Datenschutz-Link navigiert; beim Angebot verhindert dies nur persistentes PII-Drafting.";"ContactForm.tsx, AngebotsFunnel.tsx, KarriereFunnel.tsx";"Datenschutzhinweis inline oder in neuem Tab/Dialog öffnen; zustandsbewusste Rückkehr; Drafting datensparsam gemäß A-14.";"Quick Win";"S";"niedrig";"A-14";"Nach Öffnen und Zurückkehren sind Eingaben unverändert; ohne bewusste Entwurfsfunktion liegt keine PII persistent im Browser.";"Mobile E2E für Kontakt, Angebot und Bewerbung mit Back/Refresh"
"A-31";"Kontrast und Slider-Fokus korrigieren";"Placeholder, Kleinhinweise und Feldgrenzen unterschreiten in Stichproben AA; der transparente Vorher/Nachher-Range zeigt wahrscheinlich keinen sichtbaren Fokus am Griff.";"ContactForm.tsx, AngebotsFunnel.tsx, KarriereFunnel.tsx, BeforeAfter.tsx, index.css";"Farbrollen für Text/Hilfe/Rand/Fehler/Disabled AA-konform anheben; Griff/Wrapper mit focus-within-Indikator und aria-valuetext versehen.";"hoher Nutzen";"S";"niedrig";"Designsystem";"Normaltext ≥4,5:1; UI-Grenzen/Fokus ≥3:1; Slider ist per Tab/Pfeil sichtbar und verständlich bedienbar.";"Contrast Analyser, axe, Tastatur, NVDA/VoiceOver"
"A-32";"Route-Fokus und Seitenankündigung ergänzen";"SPA-Navigation scrollt nur nach oben; Fokus bleibt am Headerlink und neue Seite wird Screenreadern nicht sicher angekündigt.";"src/components/ScrollToTop.tsx, Layout, PageHero/H1";"Nach Routewechsel main oder H1 programmatisch fokussieren; kurze, nicht doppelte Seitentitel-Live-Region.";"mittelfristig";"S";"niedrig";"A-10, A-11";"Nach Tastatur-Navigation wird neuer Seitentitel/H1 angekündigt und die nächste Tab-Reihenfolge beginnt sinnvoll im Inhalt.";"Mehrseiten-E2E mit Tastatur und Screenreader"
"A-33";"WhatsApp- und Consent-Matrix klären";"Kontakt/Karriere erzwingen Einwilligung für notwendige Bearbeitung; Angebot informiert passiv; Karriere-WhatsApp-Opt-in ist nicht konkret in der Datenschutzerklärung beschrieben.";"Formulare, funnelTranslations.ts, Datenschutz";"Zwecke/Rechtsgrundlagen juristisch festlegen; notwendige Bearbeitung nicht unnötig koppeln; WhatsApp separat, ungekreuzt, informiert, widerrufbar und versioniert abbilden.";"hoher Nutzen";"M";"hoch";"Datenschutzberatung, Übersetzungsreview";"Bewerbung funktioniert ohne WhatsApp; vor Opt-in sind Anbieter/Datenfluss/Drittland/Widerruf klar; alle 11 Sprachen sind inhaltlich gleichwertig.";"UI-/Payload-Test Opt-in an/aus/Widerruf, Rechtsfreigabe"
"A-34";"Caching für statische Assets optimieren";"Gehashtes JS/CSS, Fonts und Hero-Stichprobe liefern max-age=0,must-revalidate und verursachen unnötige Revalidierung.";"Vercel-/Hoster-Header, vercel.json, Assetpipeline";"Gehashten Assets langfristig immutable cachen; HTML und nicht versionierte Medien bewusst revalidieren; Cachevertrag dokumentieren.";"Quick Win";"S";"niedrig";"A-21";"Gehashtes JS/CSS erhält public,max-age=31536000,immutable; HTML bleibt revalidierbar; Deployments invalidieren korrekt über neue Hashes.";"curl -I und Repeat-View-Netzwerkprofil"
